date,nextweek_NZDCHF,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD
2018.12.23,3,-20,18,12,-24,4,3,-1,-9,-9,24,-16,-6,-9,2,-12,20,8,-6,12,8,12,-18,-12,-12,12,6,10
2018.12.16,-9,1,4,18,-30,30,-16,-8,2,12,-18,-12,-12,-6,12,-24,24,24,-18,36,36,20,-30,-30,-24,-2,10,-9
2018.12.09,-6,9,-16,-12,18,9,-1,-6,-4,1,25,2,12,-4,10,-18,-16,-16,-5,-6,-16,6,18,24,-6,8,-3,16
2018.12.02,-4,-12,-1,6,-30,12,-25,-6,-12,-9,5,-12,-30,-16,6,-18,12,30,-30,12,30,15,-24,-36,-24,-30,-2,-30
2018.11.25,-16,1,-9,-4,36,9,16,24,-9,-1,36,-6,20,24,6,-6,-1,-25,30,12,-20,-36,9,36,36,30,30,-15
2018.11.18,24,-8,-2,-8,6,15,-20,-20,-9,-20,36,-15,-20,-20,-6,-6,12,24,-18,-1,15,20,-30,-30,-30,-9,-6,1
2018.11.11,-20,-3,-8,4,-18,-6,12,16,-5,4,-18,-1,12,24,8,-12,-10,-18,-18,6,-16,-25,-12,12,18,12,25,-12
2018.11.04,24,2,-3,-3,24,16,10,24,-1,-2,18,-9,18,24,-2,24,12,-12,24,12,-16,-36,-6,30,36,24,25,-20
2018.10.28,24,18,8,-2,30,2,16,24,25,18,30,18,24,30,-12,30,10,-9,24,-2,-15,-36,30,30,36,16,30,-12
2018.10.21,30,4,-25,-16,-18,1,-8,-24,-20,-6,-18,6,-3,-15,15,-24,-25,-15,-24,-20,-12,15,-12,-24,-36,-8,-16,24
2018.10.14,-15,6,-1,-4,12,6,3,24,18,4,-12,2,15,24,-3,12,12,-3,6,6,-9,-20,-6,18,30,9,30,-20
2018.10.07,24,-2,6,4,-30,20,12,12,4,4,-24,-8,9,12,1,-30,16,-4,-30,12,-12,-12,-30,-18,-24,24,24,-1
2018.09.30,12,24,3,-24,-4,8,-25,-25,20,6,-24,15,-12,-12,-16,12,10,36,-24,-4,15,30,-6,-24,-24,-16,-15,9
2018.09.23,-12,30,-3,-12,36,-1,-6,-9,30,24,-24,30,24,20,-12,36,-4,12,-6,-10,-8,-3,12,18,18,-3,-6,2
2018.09.16,20,-16,6,24,18,-16,20,20,-4,4,36,2,9,12,12,36,-8,-15,36,4,-8,-16,18,24,30,20,24,-1
2018.09.09,12,-1,20,12,24,-16,12,3,24,18,18,18,12,4,-9,30,2,9,24,-6,-2,18,24,36,24,-4,-9,18
