date,EURUSD,USDCAD,AUDCHF,EURJPY,EURAUD,empty,sum
2019.11.14,-259.0000000000092,-409.99999999999926,-1386.9999999999939,-935.9999999999928,-1836.9999999999998,,-4828.9999999999945
2019.11.14,-225.00000000000853,-434.000000000001,-1412.9999999999975,-954.9999999999983,-1797.000000000004,,-4824.000000000009
2019.11.14,-185.99999999999727,-361.9999999999957,-1483.000000000001,-982.9999999999899,-1917.9999999999975,,-4931.999999999981
2019.11.14,-89.99999999999008,-384.9999999999909,-1481.9999999999945,-1126.9999999999955,-1985.9999999999989,,-5069.99999999997
2019.11.14,-52.99999999999194,-311.99999999997897,-1403.999999999994,-1051.0000000000018,-1936.0000000000043,,-4755.999999999971
2019.11.14,-45.99999999999049,-340.9999999999913,-1383.9999999999964,-1022.9999999999961,-1897.9999999999998,,-4691.9999999999745
2019.11.14,-29.999999999996696,-353.99999999998766,-1380.9999999999989,-1012.0000000000005,-1936.9999999999886,,-4713.999999999973
2019.11.14,15.00000000000945,-348.9999999999993,-1408.9999999999936,-1051.0000000000018,-2011.9999999999916,,-4805.999999999977
2019.11.14,35.999999999991594,-353.99999999998766,-1393.9999999999952,-990.9999999999997,-1998.9999999999952,,-4701.999999999986
2019.11.14,28.000000000005798,-336.9999999999873,-1368.0000000000025,-924.9999999999972,-1957.9999999999932,,-4559.9999999999745
2019.11.14,11.00000000000545,-328.9999999999793,-1336.9999999999993,-929.000000000002,-1863.999999999999,,-4447.9999999999745
2019.11.14,-5.999999999994898,-289.9999999999903,-1310.9999999999955,-912.9999999999967,-1838.9999999999907,,-4358.999999999968
2019.11.14,-2.999999999997449,-276.9999999999939,-1293.9999999999952,-902.9999999999916,-1807.000000000003,,-4283.999999999981
2019.11.14,-11.00000000000545,-266.999999999995,-1334.9999999999973,-935.0000000000023,-1807.000000000003,,-4355.000000000003
2019.11.15,11.00000000000545,-230.9999999999812,-1373.9999999999975,-937.9999999999882,-1827.000000000001,,-4358.999999999962
2019.11.15,25.999999999992696,-229.99999999999687,-1344.0000000000007,-917.9999999999922,-1845.0000000000077,,-4311.000000000005
2019.11.15,25.00000000000835,-246.99999999999721,-1347.9999999999936,-920.9999999999923,-1880.9999999999993,,-4371.999999999974
2019.11.15,-1.0000000000065512,-266.999999999995,-1346.0000000000027,-903.9999999999964,-1882.000000000006,,-4400.000000000007
2019.11.15,9.999999999998899,-265.99999999998846,-1295.999999999997,-833.999999999989,-1866.9999999999964,,-4252.999999999972
2019.11.15,29.999999999996696,-265.99999999998846,-1266.999999999996,-796.999999999997,-1818.0000000000084,,-4117.999999999993
2019.11.15,48.000000000003595,-141.99999999999767,-1190.0000000000023,-694.9999999999932,-1702.999999999988,,-3681.9999999999773
2019.11.15,43.999999999999595,-131.99999999999878,-1188.0000000000002,-711.9999999999891,-1642.9999999999945,,-3630.9999999999827
2019.11.15,51.000000000001044,-142.99999999998204,-1208.9999999999934,-698.9999999999981,-1760.9999999999905,,-3760.9999999999627
2019.11.15,66.99999999999484,-142.99999999998204,-1215.9999999999948,-673.9999999999924,-1770.9999999999893,,-3736.9999999999636
2019.11.15,68.00000000000139,-103.99999999999298,-1200.9999999999966,-643.9999999999912,-1740.9999999999925,,-3621.999999999972
2019.11.15,60.99999999999994,-86.99999999999264,-1170.9999999999998,-674.9999999999972,-1665.0000000000055,,-3536.999999999995
