timeframe,profit,0,timeframe1,drawup,1,timeframe2,drawdown
2021.10.26 09:30,588.0000000000091,,2021.10.25 02:30,123.00000000004769,,2021.10.28 09:30,1460.9999999999995
2021.10.26 09:00,767.000000000028,,2021.10.26 07:30,123.00000000003416,,2021.10.29 22:30,1465.000000000039
2021.10.26 08:30,229.00000000001938,,2021.10.26 03:00,116.00000000004809,,2021.10.29 20:00,1511.000000000026
2021.10.26 08:00,131.00000000001592,,2021.10.29 17:00,111.00000000003274,,2021.10.28 10:00,1551.000000000025
2021.10.26 07:30,123.00000000003416,,2021.10.26 07:00,108.00000000003621,,2021.10.28 08:30,1561.0000000000555
2021.10.26 07:00,108.00000000003621,,2021.10.26 01:30,96.00000000001961,,2021.10.29 21:30,1562.9999999999768
2021.10.26 06:30,338.0000000000088,,2021.10.28 04:00,96.00000000000875,,2021.10.29 13:30,1583.0000000000268
2021.10.26 06:00,167.00000000000773,,2021.10.27 18:30,89.00000000006298,,2021.10.29 22:00,1586.0000000000691
2021.10.26 05:30,-221.99999999996004,,2021.10.26 15:30,71.00000000003843,,2021.10.28 05:30,1632.0000000000598
2021.10.26 05:00,-122.99999999998988,,2021.10.27 06:30,54.00000000003354,,2021.10.27 14:00,1635.0000000000562
2021.10.26 04:30,-360.999999999973,,2021.10.27 00:30,46.00000000000932,,2021.10.29 17:30,1645.000000000052
2021.10.26 04:00,34.00000000000017,,2021.10.25 03:00,43.000000000032514,,2021.10.28 15:30,1695.0000000000364
2021.10.26 03:30,348.00000000002626,,2021.10.26 04:00,34.00000000000017,,2021.10.29 13:00,1727.0000000000268
2021.10.26 03:00,116.00000000004809,,2021.10.25 16:00,33.000000000006594,,2021.10.27 14:30,1801.0000000000605
2021.10.26 02:30,326.0000000000373,,2021.10.28 00:00,16.00000000002717,,2021.10.28 06:30,1817.000000000072
2021.10.26 02:00,317.0000000000257,,2021.10.28 03:30,-27.999999999998863,,2021.10.28 09:00,1825.000000000011
2021.10.26 01:30,96.00000000001961,,2021.10.27 18:00,-38.99999999999602,,2021.10.29 23:00,1835.0000000000282
2021.10.26 01:00,276.9999999999977,,2021.10.27 06:00,-63.99999999996635,,2021.10.29 23:30,1841.000000000024
2021.10.26 00:30,502.0000000000498,,2021.10.27 02:00,-68.99999999994293,,2021.10.28 08:00,1928.000000000019
2021.10.26 00:00,303.999999999991,,2021.10.26 22:30,-82.9999999999651,,2021.10.28 07:30,2005.0000000000207
2021.10.25 23:30,439.00000000003774,,2021.10.27 01:30,-99.99999999997175,,2021.10.29 12:30,2076.000000000035
2021.10.25 23:00,946.0000000000098,,2021.10.26 05:00,-122.99999999998988,,2021.10.28 10:30,2095.0000000000446
